-189.09,6.35,122.2,30.91,-47.33,84.69,270.0,0,0
-175.77,-0.29,148.1,28.81,-100.08,94.97,140.87,0,0
-175.36,-0.31,148.45,29.06,-100.82,94.94,9.7,0,0
-172.76,-10.66,150.26,31.9,-116.04,100.04,69.42,0,0
-172.76,-10.66,150.26,31.91,-116.04,100.04,290.58,0,0
-185.08,-14.25,83.44,204.56,-104.93,162.13,290.88,0,0
-184.29,-13.27,84.49,204.49,-104.25,162.74,349.7,0,0
-184.83,-13.94,83.77,204.54,-104.71,162.32,199.13,0,0
-181.45,-10.85,91.12,201.91,-96.56,163.09,229.42,0,0
-179.99,-9.38,92.65,201.85,-95.55,164.34,160.0,0,0
-180.67,-10.05,91.95,201.88,-96.01,163.75,120.87,0,0
-177.39,-8.23,98.29,199.31,-87.9,165.04,70.0,0,0
-172.47,-6.29,105.17,196.57,-78.79,168.43,280.78,0,0
-162.11,-6.72,116.13,190.05,-60.72,178.29,330.3,0,0
-163.97,-7.5,115.4,190.04,-61.01,176.46,270.58,0,0
-161.9,-6.72,116.27,189.96,-60.51,178.53,160.0,0,0
-162.86,-7.08,115.88,190.0,-60.74,177.56,19.13,0,0
